g01228_00004	g01228	80	22
g01228_00005	g01228	80	1
g01228_00006	g01228	90	11
g01228_00007	g01228	90	5
g01228_00008	g01228	90	6
g01228_00009	g01228	90	1
g01228_00010	g01228	95	11
g01228_00011	g01228	95	5
g01228_00012	g01228	95	6
g01228_00013	g01228	95	1
g01228_00014	g01228	98	11
g01228_00015	g01228	98	5
g01228_00016	g01228	98	6
g01228_00017	g01228	98	1
g00404_00001	g00404	60	49
g00404_00002	g00404	70	49
g00404_00003	g00404	80	49
g00404_00004	g00404	90	49
g00404_00005	g00404	95	49
g00404_00006	g00404	98	49
g00872	g00872	50	49
g00872_00001	g00872	60	49
g00872_00002	g00872	70	49
g00872_00003	g00872	80	49
g00872_00004	g00872	90	49
g00872_00005	g00872	95	49
g00872_00006	g00872	98	49
g00753	g00753	50	49
g00753_00001	g00753	60	49
g00753_00002	g00753	70	49
g00753_00003	g00753	80	49
g00753_00004	g00753	90	49
g00753_00005	g00753	95	49
g00753_00006	g00753	98	49
g00274	g00274	50	49
g00274_00001	g00274	60	49
g00274_00002	g00274	70	49
g00274_00003	g00274	80	49
g00274_00004	g00274	90	49
g00274_00005	g00274	95	49
g00274_00006	g00274	98	49
g01331	g01331	50	49
g01331_00001	g01331	60	49
g01331_00002	g01331	70	49
g01331_00003	g01331	80	49
g01331_00004	g01331	90	49
g01331_00005	g01331	95	49
g01331_00006	g01331	98	26
g01331_00007	g01331	98	23
g01169	g01169	50	49
g01169_00001	g01169	60	49
g01169_00002	g01169	70	49
g01169_00003	g01169	80	49
g01169_00004	g01169	90	49
g01169_00005	g01169	95	49
g01169_00006	g01169	98	49
g00337	g00337	50	49
g00337_00001	g00337	60	49
g00337_00002	g00337	70	49
g00337_00003	g00337	80	49
g00337_00004	g00337	90	49
g00337_00005	g00337	95	49
g00337_00006	g00337	98	49
g00028	g00028	50	49
g00028_00001	g00028	60	49
g00028_00002	g00028	70	49
g00028_00003	g00028	80	49
g00028_00004	g00028	90	49
g00028_00005	g00028	95	49
g00028_00006	g00028	98	49
g00797	g00797	50	49
g00797_00001	g00797	60	49
g00797_00002	g00797	70	49
g00797_00003	g00797	80	49
g00797_00004	g00797	90	49
g00797_00005	g00797	95	49
g00797_00006	g00797	98	49
g01441	g01441	50	49
g01441_00001	g01441	60	49
g01441_00002	g01441	70	49
g01441_00003	g01441	80	49
g01441_00004	g01441	90	49
g01441_00005	g01441	95	49
g01441_00006	g01441	98	26
g01441_00007	g01441	98	23
g01156	g01156	50	49
g01156_00001	g01156	60	49
g01156_00002	g01156	70	49
g01156_00003	g01156	80	49
g01156_00004	g01156	90	49
g01156_00005	g01156	95	49
g01156_00006	g01156	98	49
g00472	g00472	50	49
g00472_00001	g00472	60	49
g00472_00002	g00472	70	49
g00472_00003	g00472	80	49
g00472_00004	g00472	90	49
g00472_00005	g00472	95	49
g00472_00006	g00472	98	49
g01245	g01245	50	23
g01245_00001	g01245	60	23
g01245_00002	g01245	70	23
g01245_00003	g01245	80	23
g01245_00004	g01245	90	22
g01245_00005	g01245	90	1
g01245_00006	g01245	95	22
g01245_00007	g01245	95	1
g01245_00008	g01245	98	16
g01245_00009	g01245	98	6
g01245_00010	g01245	98	1
g00045	g00045	50	49
g00045_00001	g00045	60	49
g00045_00002	g00045	70	49
g00045_00003	g00045	80	49
g00045_00004	g00045	90	49
g00045_00005	g00045	95	49
g00045_00006	g00045	98	49
g01261	g01261	50	49
g01261_00001	g01261	60	49
g01261_00002	g01261	70	49
g01261_00003	g01261	80	49
g01261_00004	g01261	90	49
g01261_00005	g01261	95	49
g01261_00006	g01261	98	26
g01261_00007	g01261	98	23
g00078	g00078	50	49
g00078_00001	g00078	60	49
g00078_00002	g00078	70	49
g00078_00003	g00078	80	49
g00078_00004	g00078	90	49
g00078_00005	g00078	95	49
g00078_00006	g00078	98	49
g00330	g00330	50	49
g00330_00001	g00330	60	49
g00330_00002	g00330	70	49
g00330_00003	g00330	80	49
g00330_00004	g00330	90	49
g00330_00005	g00330	95	49
g00330_00006	g00330	98	49
g00914	g00914	50	49
g00914_00001	g00914	60	49
g00914_00002	g00914	70	49
g00914_00003	g00914	80	49
g00914_00004	g00914	90	49
g00914_00005	g00914	95	49
g00914_00006	g00914	98	49
g00999	g00999	50	49
g00999_00001	g00999	60	49
g00999_00002	g00999	70	49
g00999_00003	g00999	80	49
g00999_00004	g00999	90	49
g00999_00005	g00999	95	49
g00999_00006	g00999	98	49
g00012	g00012	50	49
g00012_00001	g00012	60	49
g00012_00002	g00012	70	49
g00012_00003	g00012	80	49
g00012_00004	g00012	90	49
g00012_00005	g00012	95	49
g00012_00006	g00012	98	49
g00042	g00042	50	49
g00042_00001	g00042	60	49
g00042_00002	g00042	70	49
g00042_00003	g00042	80	49
g00042_00004	g00042	90	49
g00042_00005	g00042	95	49
g00042_00006	g00042	98	49
g00251	g00251	50	49
g00251_00001	g00251	60	49
g00251_00002	g00251	70	49
g00251_00003	g00251	80	49
g00251_00004	g00251	90	49
g00251_00005	g00251	95	49
g00251_00006	g00251	98	49
g00951	g00951	50	49
g00951_00001	g00951	60	49
g00951_00002	g00951	70	49
g00951_00003	g00951	80	49
g00951_00004	g00951	90	49
g00951_00005	g00951	95	49
g00951_00006	g00951	98	49
g01682	g01682	50	25
g01682_00001	g01682	60	25
g01682_00002	g01682	70	25
g01682_00003	g01682	80	25
g01682_00004	g01682	90	25
g01682_00005	g01682	95	25
g01682_00006	g01682	98	25
g01316	g01316	50	49
g01316_00001	g01316	60	49
g01316_00002	g01316	70	49
g01316_00003	g01316	80	49
g01316_00004	g01316	90	49
g01316_00005	g01316	95	49
g01316_00006	g01316	98	26
g01316_00007	g01316	98	23
g00957	g00957	50	49
g00957_00001	g00957	60	49
g00957_00002	g00957	70	49
g00957_00003	g00957	80	49
g00957_00004	g00957	90	49
g00957_00005	g00957	95	49
g00957_00006	g00957	98	49
g00959	g00959	50	49
g00959_00001	g00959	60	49
g00959_00002	g00959	70	49
g00959_00003	g00959	80	49
g00959_00004	g00959	90	49
g00959_00005	g00959	95	49
g00959_00006	g00959	98	49
g00397	g00397	50	49
g00397_00001	g00397	60	49
g00397_00002	g00397	70	49
g00397_00003	g00397	80	49
g00397_00004	g00397	90	49
g00397_00005	g00397	95	49
g00397_00006	g00397	98	49
g00193	g00193	50	49
g00193_00001	g00193	60	49
g00193_00002	g00193	70	49
g00193_00003	g00193	80	49
g00193_00004	g00193	90	49
g00193_00005	g00193	95	49
g00193_00006	g00193	98	49
g00298	g00298	50	49
g00298_00001	g00298	60	49
g00298_00002	g00298	70	49
g00298_00003	g00298	80	49
g00298_00004	g00298	90	49
g00298_00005	g00298	95	49
g00298_00006	g00298	98	49
g00529	g00529	50	49
g00529_00001	g00529	60	49
g00529_00002	g00529	70	49
g00529_00003	g00529	80	49
g00529_00004	g00529	90	49
g00529_00005	g00529	95	49
g00529_00006	g00529	98	49
g00229	g00229	50	49
g00229_00001	g00229	60	49
g00229_00002	g00229	70	49
g00229_00003	g00229	80	49
g00229_00004	g00229	90	49
g00229_00005	g00229	95	49
g00229_00006	g00229	98	49
g01140	g01140	50	49
g01140_00001	g01140	60	49
g01140_00002	g01140	70	49
g01140_00003	g01140	80	49
g01140_00004	g01140	90	49
g01140_00005	g01140	95	49
g01140_00006	g01140	98	49
g01312	g01312	50	25
g01312_00001	g01312	60	25
g01312_00002	g01312	70	25
g01312_00003	g01312	80	25
g01312_00004	g01312	90	25
g01312_00005	g01312	95	25
g01312_00006	g01312	98	2
g01312_00007	g01312	98	23
g01466	g01466	50	49
g01466_00001	g01466	60	49
g01466_00002	g01466	70	49
g01466_00003	g01466	80	49
g01466_00004	g01466	90	49
g01466_00005	g01466	95	49
g01466_00006	g01466	98	26
g01466_00007	g01466	98	23
g00831	g00831	50	49
g00831_00001	g00831	60	49
g00831_00002	g00831	70	49
g00831_00003	g00831	80	49
g00831_00004	g00831	90	49
g00831_00005	g00831	95	49
g00831_00006	g00831	98	49
g00339	g00339	50	49
g00339_00001	g00339	60	49
g00339_00002	g00339	70	49
g00339_00003	g00339	80	49
g00339_00004	g00339	90	49
g00339_00005	g00339	95	49
g00339_00006	g00339	98	49
g00930	g00930	50	49
g00930_00001	g00930	60	49
g00930_00002	g00930	70	49
g00930_00003	g00930	80	49
g00930_00004	g00930	90	49
g00930_00005	g00930	95	49
g00930_00006	g00930	98	49
g00601	g00601	50	49
g00601_00001	g00601	60	49
g00601_00002	g00601	70	49
g00601_00003	g00601	80	49
g00601_00004	g00601	90	49
g00601_00005	g00601	95	49
g00601_00006	g00601	98	49
g00836	g00836	50	49
g00836_00001	g00836	60	49
g00836_00002	g00836	70	49
g00836_00003	g00836	80	49
g00836_00004	g00836	90	49
g00836_00005	g00836	95	49
g00836_00006	g00836	98	49
g00494	g00494	50	49
g00494_00001	g00494	60	49
g00494_00002	g00494	70	49
g00494_00003	g00494	80	49
g00494_00004	g00494	90	49
g00494_00005	g00494	95	49
g00494_00006	g00494	98	49
g00353	g00353	50	49
g00353_00001	g00353	60	49
g00353_00002	g00353	70	49
g00353_00003	g00353	80	49
g00353_00004	g00353	90	49
g00353_00005	g00353	95	49
g00353_00006	g00353	98	49
g00096	g00096	50	49
g00096_00001	g00096	60	49
g00096_00002	g00096	70	49
g00096_00003	g00096	80	49
g00096_00004	g00096	90	49
g00096_00005	g00096	95	49
g00096_00006	g00096	98	49
g01710	g01710	50	8
g01710_00001	g01710	60	8
g01710_00002	g01710	70	8
g01710_00003	g01710	80	8
g01710_00004	g01710	90	8
g01710_00005	g01710	95	8
g01710_00006	g01710	98	8
g00960	g00960	50	49
g00960_00001	g00960	60	49
g00960_00002	g00960	70	49
g00960_00003	g00960	80	49
g00960_00004	g00960	90	49
g00960_00005	g00960	95	49
g00960_00006	g00960	98	49
g00564	g00564	50	49
g00564_00001	g00564	60	49
g00564_00002	g00564	70	49
g00564_00003	g00564	80	49
g00564_00004	g00564	90	49
g00564_00005	g00564	95	49
g00564_00006	g00564	98	49
g00100	g00100	50	49
g00100_00001	g00100	60	49
g00100_00002	g00100	70	49
g00100_00003	g00100	80	49
g00100_00004	g00100	90	49
g00100_00005	g00100	95	49
g00100_00006	g00100	98	49
g01295	g01295	50	49
g01295_00001	g01295	60	49
g01295_00002	g01295	70	49
g01295_00003	g01295	80	49
g01295_00004	g01295	90	49
g01295_00005	g01295	95	49
g01295_00006	g01295	98	38
g01295_00007	g01295	98	11
g00449	g00449	50	49
g00449_00001	g00449	60	49
g00449_00002	g00449	70	49
g00449_00003	g00449	80	49
g00449_00004	g00449	90	49
g00449_00005	g00449	95	49
g00449_00006	g00449	98	49
g01321	g01321	50	49
g01321_00001	g01321	60	49
g01321_00002	g01321	70	49
g01321_00003	g01321	80	49
g01321_00004	g01321	90	49
g01321_00005	g01321	95	49
g01321_00006	g01321	98	26
g01321_00007	g01321	98	23
g00719	g00719	50	49
g00719_00001	g00719	60	49
g00719_00002	g00719	70	49
g00719_00003	g00719	80	49
